DISTRICT,REG.VOTERS,PDP,GF,PPP,FP,FDC,INDEP,NRM,VALD VOTES,INVALID,TOTAL VOTES,LEADER
075 NAMUTUMBA,103296,526,334,220,121,17370,114,47498,67719,3308,71027,NRM
076 OYAM,156398,1682,1919,1165,538,40070,658,48020,94807,5255,100062,NRM
077 MARACHA,90711,1494,1489,819,447,14430,432,30631,50619,5996,56615,NRM
078 BUDUDA,64728,172,152,233,78,16627,56,27000,44386,2265,46651,NRM
079 BUKEDEA,83448,698,618,381,229,21108,312,33504,57159,2843,60002,NRM
080 LYANTONDE,43966,124,134,50,33,6042,20,24815,31284,1087,32371,NRM
081 AMUDAT,36203,37,33,16,13,521,24,25262,25950,177,26127,NRM
082 BUIKWE,199928,1242,861,434,228,51583,199,67705,122849,6280,129129,NRM
083 BUYENDE,117618,441,462,389,95,10579,90,62890,75684,5073,80757,NRM
084 KYEGEGWA,110312,232,396,204,107,9397,63,65914,76410,2757,79167,NRM
085 LAMWO,56871,841,3816,515,261,12815,288,14180,33035,2519,35554,NRM
086 OTUKE,41615,512,623,356,129,8369,167,18507,28789,0,28789,NRM
087 ZOMBO,101136,929,1433,666,311,11286,216,46404,61836,3917,65753,NRM
088 ALEBTONG,97699,1419,1328,859,370,28060,424,31592,64710,3426,68136,NRM
089 BULAMBULI,61920,172,168,166,54,13350,100,29796,43899,1667,45566,NRM
090 BUVUMA,37522,262,185,104,65,8786,55,12948,22544,1726,24270,NRM
091 GOMBA,67479,391,276,143,216,11102,75,35440,47738,1758,49496,NRM
092 KIRYANDONGO,107720,557,987,383,244,11990,128,43742,58312,5661,63973,NRM
093 KYANKWANZI,91086,265,336,216,97,11494,63,47897,60503,2847,63350,NRM
094 LUUKA,96706,322,266,228,83,15760,68,42511,59922,3702,63624,NRM
095 NAMAYINGO,92607,464,385,187,94,21052,222,32292,55148,3929,59077,NRM
096 NTOROKO,32006,93,123,69,45,4359,16,16661,21402,629,22031,NRM
097 SERERE,113143,981,1044,521,256,35035,232,40628,79091,4174,83265,NRM
098 BUKOMANSIMBI,63513,522,485,163,72,19477,51,23695,44561,2034,46595,NRM
099 BUTAMBALA,44171,312,231,188,44,14294,54,17019,32234,1128,33362,NRM
100 KALUNGU,76578,585,673,212,97,22218,128,28727,52752,2124,54876,NRM
101 SHEEMA,111545,214,547,234,124,22927,74,56894,81190,1958,83148,NRM
102 KIBUKU,79919,302,423,140,73,16836,71,39433,57423,2291,59714,NRM
103 KOLE,102200,980,959,535,280,27189,343,37441,68082,2788,70870,NRM
104 KWEEN,40043,116,347,48,42,7824,27,20915,29363,1733,31096,NRM
105 LWENGO,121563,863,781,255,129,28998,136,51196,82477,3130,85607,NRM
106 MITOOMA,98981,255,350,356,104,22055,67,47641,70889,1889,72778,NRM
107 NAPAK,43605,130,223,138,90,940,138,29148,31108,3257,34365,NRM
108 NGORA,62952,529,652,513,167,21337,160,19444,43014,2635,45649,FDC
109 BUHWEJU,57847,252,398,272,121,5421,76,38229,44930,2467,47397,NRM
110 NWOYA,46836,667,4984,573,186,6838,275,9922,23829,1359,25188,NRM
111 AGAGO,85759,859,2217,663,330,19204,224,35501,59258,3016,62274,NRM
112 RUBIRIZI,63006,163,367,316,69,9974,50,34845,45858,1735,47593,NRM
