code,level,sub county,district_code,registered_voters,abed_bwanika,amama_mbabazi,baryamureeba_venansius,benon_biraaro,kizza_besigye,joseph_mabirizi,moureen_kyalya,yoweri_museveni,invalid
2151,sub county,Bukhiende,33,10434,27,44,33,20,3864,12,11,2905,289
1525,sub county,Bukimbiri,60,6517,16,19,51,1,925,9,6,4334,152
1894,sub county,Bukinda,56,5861,15,37,13,6,1781,3,6,2591,169
1479,sub county,Bukomero,109,7235,48,34,19,5,1220,7,15,3655,245
1347,sub county,Bukulula,85,18210,153,159,68,24,5051,38,31,6741,606
1915,sub county,Bukuuku,57,5566,8,15,9,4,717,3,4,3020,210
2235,sub county,Bukuya,22,13479,71,46,34,20,2459,9,13,6261,390
,sub county,Bukwa,,3614,11,15,10,4,591,2,5,2220,115
,sub county,Bulamagi,,15304,39,35,19,12,3502,80,160,5216,377
915,sub county,Bulange,43,17415,162,71,50,28,3671,25,324,6300,579
1487,sub county,Bulangira,75,10132,56,75,22,13,2516,14,28,4272,304
,sub county,Bulembia Division,,5904,23,35,26,10,2335,10,10,1765,198
2196,sub county,Bulera,29,13600,80,87,24,14,2644,35,30,6656,551
1997,sub county,Bulesa,81,16719,94,74,35,31,3803,19,64,5662,853
1293,sub county,Bulopa,77,8715,57,61,8,7,1597,10,65,3967,253
1721,sub county,Bulumbi,83,6735,34,49,28,12,1479,20,18,2960,185
1341,sub county,Bumanya,41,19827,60,84,40,24,2376,10,282,11252,818
1710,sub county,Bumbaire,103,8545,20,38,15,23,1992,18,13,4089,144
1213,sub county,Buremba,4,9943,8,16,9,8,1033,3,2,6417,166
,sub county,Busaana,,24228,135,94,108,39,4355,30,57,9230,933
1521,sub county,Busanza,60,9099,10,23,18,6,437,7,4,5556,79
1862,sub county,Busedde,31,17070,33,49,23,13,3615,9,123,6860,666
,sub county,Busimbi Division,,20536,133,114,29,16,6783,57,29,7114,550
2201,sub county,Butayunja,29,5260,38,27,28,5,1397,14,9,2338,168
1013,sub county,Butebo,76,11391,70,86,194,28,2879,18,17,4327,412
1570,sub county,Butemba,108,13616,55,81,49,20,1869,14,23,6396,656
1591,sub county,Butiiti,69,9573,11,32,21,8,943,4,9,5574,294
1646,sub county,Butuntumula,21,15848,79,64,38,23,3081,23,20,6887,523
1254,sub county,Buwaaya,73,8870,32,30,24,12,1720,11,77,3242,230
1676,sub county,Buwabwala,42,2974,5,4,2,3,405,2,2,1665,92
1103,sub county,Buwalasi,89,7220,22,23,22,12,3548,8,4,1630,338
2219,sub county,Buwama,68,22570,342,137,141,45,6037,49,39,9522,616
1724,sub county,Buyanga,83,21062,81,71,33,25,5528,9,128,7780,893
1066,sub county,Buyanja,63,19059,28,37,37,14,8093,7,11,5570,498
1474,sub county,Bwamiramira,59,7893,31,36,20,12,847,13,13,4134,402
1277,sub county,Bwanswa,59,7594,18,30,30,7,507,8,11,4867,268
1399,sub county,Bwera,58,9602,33,19,11,10,3376,6,5,3873,216
1458,sub county,Bwikara,59,16254,24,81,31,20,2314,5,14,8738,335
1354,sub county,Bwizi,64,12064,20,33,9,11,1077,5,6,7376,175
955,sub county,Bwongyera,62,18306,30,22,38,10,5581,22,12,6901,538
1037,sub county,Byakabanda,24,7787,59,34,23,12,1922,23,8,3220,177
,sub county,Central Division,,41116,70,473,34,31,11819,25,326,13863,1022
1529,sub county,Chahi,60,9070,9,25,28,9,739,3,12,5618,254
,sub county,Division A,,23899,173,109,14,24,7091,8,37,7302,343
1171,sub county,Drajini,48,6784,120,181,202,35,1760,42,30,2786,331
,sub county,Drajini/arajim,,320,6,11,6,0,84,0,1,136,14
,sub county,Dufile,,3799,43,75,20,10,701,5,15,1530,145
,sub county,East Division,,11776,45,51,61,13,2324,8,21,4892,365
,sub county,Eastern,,11966,30,68,14,13,4256,3,22,3360,273
,sub county,Eastern Division,,35239,52,106,64,31,9892,18,60,12256,1002
,sub county,Endinzi,,11186,14,29,21,17,1496,4,5,6226,197
,sub county,Goma Division,,52667,412,273,41,50,17955,49,99,12390,1080
,sub county,Gombe Division,,37383,313,196,58,38,10712,49,78,8441,899
1582,sub county,Hapuuyo,70,12118,28,62,19,21,1055,13,12,7584,251
,sub county,Harugali,,5270,31,46,16,11,1091,11,8,2777,211
,sub county,Ibanda Town Council,,15036,11,25,58,12,2663,9,12,7290,199
,sub county,Industrial Borough,,20313,46,120,13,17,6028,11,44,5181,456
922,sub county,Iriiri,94,8879,23,27,31,34,126,45,89,6438,321
1134,sub county,Iyolwa,34,8779,33,35,10,6,2524,9,32,3610,293
,sub county,Jinja Central,,15879,36,96,4,7,5670,13,135,3468,395
,sub county,Kaabong East,,2996,11,7,5,8,51,15,71,2199,339
,sub county,Kaasangombe,,9028,104,48,42,14,2104,18,19,4013,351
,sub county,Kabale Central,,7334,3,98,5,4,2712,7,4,2394,122
1046,sub county,Kabira,24,12875,115,45,40,20,3402,18,17,5460,419
1309,sub county,Kabonera,18,14178,172,113,34,13,4995,8,16,4317,341
1776,sub county,Kabulasoke,19,20094,113,82,36,148,2823,23,20,10350,531
1858,sub county,Kabuyanda,3,9537,33,52,33,10,1619,5,7,3839,164
1544,sub county,Kacheri,46,7473,62,61,24,18,59,22,50,4329,429
1111,sub county,Kagango,99,10607,16,37,22,10,1903,15,16,5646,156
1147,sub county,Kakiri,27,19109,144,116,49,19,3728,35,31,6533,417
,sub county,Kakoba,,32721,28,87,16,30,8792,7,10,8926,399
2262,sub county,Kakomongole,111,4809,18,7,14,11,95,12,38,3156,369
900,sub county,Kakooge,23,7980,31,33,23,15,831,7,19,4904,195
1032,sub county,Kakuuto,24,15925,77,45,19,16,3392,5,34,6641,449
1656,sub county,Kaliiro,28,8341,29,30,8,7,1100,3,16,4982,247
1342,sub county,Kalungu,85,17025,130,232,48,14,5952,24,26,5467,401
1374,sub county,Kambuga,65,12171,22,320,23,5,2783,5,4,5228,197
2220,sub county,Kammengo,68,17141,151,94,50,20,4259,28,28,6670,409
,sub county,Kampala Central,,82456,388,704,38,74,26224,37,99,17804,1058
1909,sub county,Kamuganguzi,56,11018,24,73,21,13,2321,8,11,5709,274
950,sub county,Kanara,106,3269,3,6,4,7,219,0,7,1871,78
1441,sub county,Kangulumira,26,24245,144,99,238,29,7179,39,59,8002,722
1375,sub county,Kanyantorogo,65,9530,22,1380,32,5,1998,7,5,3250,175
1503,sub county,Kanyaryeru,4,3568,0,0,0,0,0,0,0,3537,10
943,sub county,Kapir,84,14478,121,162,125,36,4322,41,64,5131,558
1435,sub county,Kapujan,32,6191,34,62,49,18,2062,11,18,2397,228
,sub county,Karujubu Division,,13517,49,54,58,17,2111,14,24,5478,526
1414,sub county,Karusandara,58,5976,14,17,9,2,846,6,6,3233,173
1149,sub county,Kasanje,27,14109,142,62,46,24,3615,12,19,4719,367
2252,sub county,Kasawo,79,16953,127,111,54,23,4123,34,49,5642,404
1232,sub county,Kashozi,99,7887,17,51,15,12,1564,0,8,4107,139
1063,sub county,Katerera,101,5040,22,59,44,8,570,6,7,3102,158
2206,sub county,Katikekile,93,3269,18,28,47,9,58,30,61,2056,350
,sub county,Katwe,,14957,209,178,13,9,5915,3,4,3116,145
1312,sub county,Katwe/butego,18,717,5,6,2,1,238,1,0,153,11
,sub county,Kawempe Division,,207797,1339,1161,118,129,70265,104,251,30431,2322
,sub county,Kawolo Division,,17341,147,86,77,24,3633,20,43,7288,625
971,sub county,Kayonza,62,13728,41,61,46,28,2664,11,14,7101,338
1361,sub county,Kicheche,64,14251,28,46,44,12,1543,5,15,8695,218
2238,sub county,Kiganda,22,15846,68,41,23,19,3018,19,20,7462,497
1281,sub county,Kigumba,98,18607,139,175,80,49,2171,26,61,8178,977
1247,sub county,Kijomoro,105,14949,247,268,177,84,2434,102,114,4350,1445
,sub county,Kingo,,15223,250,214,33,15,4694,17,19,5014,437
,sub county,Kira Division,,23914,227,125,17,28,7282,20,34,4496,609
1135,sub county,Kirewa,34,12855,109,95,79,53,5642,53,177,2474,501
1404,sub county,Kisinga,58,20298,165,73,76,28,10056,33,17,3802,834
,sub county,Kitgum Matidi,,7123,88,975,62,34,1449,53,29,1653,421
1331,sub county,Kityerera,73,19912,109,71,48,21,3957,34,118,7527,624
,sub county,Koome Islands,,8125,48,25,16,8,1961,10,8,2223,381
1125,sub county,Kwapa,34,9890,37,40,28,16,2751,8,23,3684,530
1650,sub county,Kyazanga,17,14880,55,56,25,10,2181,14,20,7779,313
2263,sub county,Lolachat,111,6728,3,6,0,3,30,5,4,5009,86
1080,sub county,Lugusulu,25,14299,16,12,8,4,1043,1,4,10153,116
1075,sub county,Lwemiyaga,25,17095,29,57,22,21,1808,15,17,8534,307
1651,sub county,Lwengo,17,21311,149,105,38,28,4669,24,13,9914,653
,sub county,Makindye Division,,256957,1284,1615,121,228,82517,106,259,35361,3649
,sub county,Masajja Division,,50971,441,240,27,22,17607,43,47,7454,521
,sub county,Migyera Town Council,,2388,5,4,4,3,420,2,3,1175,80
1836,sub county,Nabitende,72,12360,105,62,44,17,2306,17,113,5027,738
,sub county,Nakawa,,207855,1499,1299,93,330,69290,101,297,37138,2596
1195,sub county,Namasale,50,8137,34,49,41,13,2522,15,22,2924,314
,sub county,Njeru Town Council,,37825,142,124,34,28,11919,19,140,8382,968
,sub county,North Division,,15455,76,106,81,40,3705,29,79,5295,580
,sub county,Northern Division,,13943,61,34,12,4,2622,6,109,4941,357
1156,sub county,Nsangi,27,78807,589,442,71,62,27475,47,65,13091,1359
964,sub county,Ntungamo,62,15910,23,46,26,5,3010,3,9,7563,236
2133,sub county,Offaka,104,8530,81,171,148,43,1180,50,44,3637,319
933,sub county,Pakwach,95,9634,89,220,67,49,1562,33,32,4087,603
,sub county,Rubaga Division,,253474,1756,1740,123,146,84698,195,229,35515,4455
,sub county,Rubirizi Town Council,,4051,6,12,8,2,764,0,3,2069,76
,sub county,Tororo Eastern,,9832,31,53,18,14,3322,10,25,2929,248
2054,sub county,Adropi,44,4647,52,54,18,7,784,3,5,2079,382
1302,sub county,Akalo,13,11873,115,143,80,33,3319,39,39,3629,501
,sub county,Alebtong Town Council,,3100,27,38,13,10,778,13,61,1178,131
2048,sub county,Alerek,49,4835,17,61,9,3,369,6,14,2872,168
1191,sub county,Amach,6,14709,127,142,78,49,5211,41,36,5085,549
2078,sub county,Amugu,7,11476,189,174,129,41,3808,57,29,2433,565
,sub county,Anaka,,4172,87,494,55,15,339,26,36,929,148
2121,sub county,Apac,12,21760,251,222,285,83,6159,54,108,6649,819
1021,sub county,Apopong,76,10762,135,81,52,38,3388,28,27,4153,297
2143,sub county,Arivu,104,10553,108,162,63,30,1535,37,32,4335,946
2126,sub county,Aroi,104,11267,100,140,88,39,2000,34,35,3077,805
2098,sub county,Asamuk,36,8887,97,127,75,44,3028,30,33,3004,358
1116,sub county,Asuret,88,15260,152,180,116,48,6298,58,34,3067,470
1002,sub county,Atanga,11,6296,101,408,71,53,1762,40,99,1300,122
2112,sub county,Atiak,9,15601,113,298,63,34,1951,67,32,1845,482
1768,sub county,Batta,51,8318,104,84,81,30,2437,27,22,2919,557
,sub county,Beleafe,,8394,105,142,78,41,2295,38,38,2718,411
1558,sub county,Binyiny,91,2115,3,17,3,3,539,0,1,1068,105
1947,sub county,Bubeke,1,2820,34,17,6,3,891,6,9,927,72
1701,sub county,Bubukwanga,107,10549,18,70,12,6,175,6,51,7464,568
1989,sub county,Bududa,37,5244,6,8,4,6,2132,3,6,1641,147
1590,sub county,Bugaaki,69,14316,31,47,44,6,1314,10,14,8217,460
1800,sub county,Buhimba,55,18959,55,94,62,27,2846,77,26,9882,790
1072,sub county,Buhunga,63,12014,15,35,36,10,4354,11,5,4014,267
1951,sub county,Bukhalu,92,9621,35,16,14,7,2665,7,16,3946,361
,sub county,Bukiiro,,8026,11,26,12,3,1509,18,2,4196,211
2152,sub county,Bukonde,33,6938,18,53,29,7,2422,7,13,2202,211
1627,sub county,Bukooma,71,15421,52,44,51,18,2332,18,118,7639,584
2040,sub county,Buliisa,66,5765,17,20,17,6,1040,16,8,3160,190
1747,sub county,Bulo,67,7883,50,23,15,8,2712,7,14,2699,184
1992,sub county,Buluguyi,81,12666,92,88,27,18,2185,13,29,5571,465
1940,sub county,Bululu,35,8532,52,55,50,19,2709,23,24,3203,235
1099,sub county,Bumasifwa,89,5262,15,14,8,4,1276,3,3,2541,129
1670,sub county,Bumwoni,42,7277,19,18,15,15,1371,8,7,3374,260
,sub county,Bunamwaya Division,,30224,363,217,25,25,10943,43,26,5133,519
1783,sub county,Bungatira,45,14553,160,688,161,118,4925,38,59,2380,340
2154,sub county,Bungokho,33,13166,40,42,62,22,3754,12,21,4587,441
2002,sub county,Burere,100,8796,38,58,39,16,884,8,10,5734,332
1498,sub county,Burunga,4,10098,8,7,10,3,502,3,4,8566,170
1736,sub county,Busaba,40,10022,62,84,71,27,2273,138,43,4003,500
1753,sub county,Busamuzi,74,6637,48,38,22,12,1373,10,36,2347,272
1807,sub county,Buseruka,55,11669,41,51,22,12,1367,7,19,5644,451
1488,sub county,Buseta,75,6433,29,71,16,3,1062,5,10,3266,142
1913,sub county,Busoro,57,12675,24,36,18,19,1843,9,11,6855,593
,sub county,Busukuma Division,,18228,129,88,52,25,5264,37,29,5246,403
910,sub county,Buswale,82,11596,76,53,17,13,2660,16,77,4416,552
1867,sub county,Butagaya,31,23339,46,52,39,24,4078,14,166,8665,404
1291,sub county,Butansi,77,11846,35,123,16,18,1677,15,70,5666,456
2025,sub county,Butenga,16,16251,120,158,48,12,5018,17,28,5867,514
1674,sub county,Butiru,42,7588,38,14,14,12,2153,22,13,3006,277
