code,level,sub county,district_code,registered_voters,abed_bwanika,amama_mbabazi,baryamureeba_venansius,benon_biraaro,kizza_besigye,joseph_mabirizi,moureen_kyalya,yoweri_museveni,invalid
1903,sub county,Kitumba,56,10200,23,51,16,21,2590,4,4,4671,179
2222,sub county,Kituntu,68,10064,98,55,66,15,2824,15,10,4140,451
,sub county,Kitwe Town Council,,8427,12,16,25,6,1708,2,0,4125,179
1041,sub county,Kiziba,24,5613,48,29,16,9,1333,10,10,1919,170
944,sub county,Kobwin,84,13851,141,182,93,41,5710,46,41,3554,538
1788,sub county,Koro,45,12371,128,794,110,44,3306,33,35,1952,371
1545,sub county,Kotido,46,9939,79,93,48,39,229,46,121,5905,814
1713,sub county,Kyabugimbi,103,10868,27,42,33,27,2189,18,10,5445,200
1450,sub county,Kyakabadiima,59,4470,8,20,5,6,613,5,1,2646,51
2245,sub county,Kyampisi,79,19786,169,80,64,22,5661,38,37,6533,720
1344,sub county,Kyamulibwa,85,13674,102,101,29,25,3657,29,20,5744,336
,sub county,Kyanamukaka,,14286,143,93,38,14,3725,12,20,6070,393
1425,sub county,Kyarumba,58,18869,202,121,65,29,10457,27,25,2832,617
1778,sub county,Kyegonza,19,12633,91,60,31,21,2306,17,25,6411,463
2064,sub county,Lapono,10,7959,88,169,49,19,1038,12,22,4200,333
,sub county,Laroo,,14494,40,450,23,32,4575,6,22,1774,292
2215,sub county,Lefori,47,3466,37,50,18,5,771,5,21,1213,229
1620,sub county,Lira,6,13791,103,143,84,30,5249,46,35,2395,328
,sub county,Lira Central,,11899,27,61,14,6,4233,7,21,2129,200
1300,sub county,Lobule,53,11472,124,117,59,35,1666,26,38,4299,736
1212,sub county,Lokopo,94,7695,36,25,28,13,150,12,34,4918,772
1607,sub county,Lokung,15,6316,81,219,42,34,1255,37,45,1777,342
914,sub county,Lolwe,82,6982,17,16,25,2,1566,37,39,2661,205
2264,sub county,Lorengedwat,111,2399,4,10,2,0,58,2,7,1886,125
995,sub county,Loro,54,22150,234,276,133,85,5878,96,108,6318,905
1726,sub county,Lumino,83,7080,32,62,41,7,2097,5,16,2727,167
1346,sub county,Lwabenge,85,13281,87,93,49,22,2744,27,16,6213,427
1082,sub county,Lwebitakuli,25,26155,101,79,26,19,4715,18,30,11724,580
1362,sub county,Mahyoro,64,12910,28,41,20,13,1161,10,13,7464,172
,sub county,Makerere University,,5755,56,60,3,17,1925,1,10,849,32
1332,sub county,Malongo,73,47384,180,167,78,63,8110,37,187,18099,1666
1129,sub county,Molo,34,8584,37,44,19,18,3454,14,43,2599,299
1219,sub county,Moruita,111,3457,3,8,3,3,90,1,7,1565,109
,sub county,Mparo Division,,12284,19,40,15,10,2816,9,9,4901,348
1138,sub county,Mulanda,34,17184,130,126,72,18,6265,32,48,4515,639
2087,sub county,Muntu,50,5338,42,34,40,16,1992,13,5,1780,120
2242,sub county,Myanzi,22,9096,62,40,20,10,1732,17,11,4155,242
2207,sub county,Nadunget,93,11221,62,45,61,25,159,70,91,7771,1040
1235,sub county,Najja,80,20135,121,102,42,25,4313,37,40,7481,686
2248,sub county,Nakisunga,79,23439,213,140,36,133,6087,23,44,7629,1157
1839,sub county,Nambale,72,18113,121,84,44,17,3158,22,213,7192,634
1166,sub county,Nangabo,27,68731,503,326,69,55,22550,65,84,12113,1549
1444,sub county,Nazigo,26,19457,174,109,144,23,5247,39,38,6838,625
1654,sub county,Ndagwe,17,15768,119,65,53,25,3594,27,11,7536,310
972,sub county,Ngoma,62,12741,16,27,27,10,1329,7,8,7825,204
,sub county,North Division,,2557,2,10,6,3,337,1,0,1434,23
,sub county,Northern,,8588,31,49,16,11,3102,12,8,2422,193
,sub county,Northern Borough,,21158,36,104,13,19,7085,12,21,4746,508
,sub county,Northern Division,,14707,21,53,2,6,3857,4,176,4379,293
,sub county,Ntuusi,,11329,15,10,8,6,1497,5,5,5848,129
1692,sub county,Nyadri,105,9162,94,157,77,34,1412,45,77,2945,507
,sub county,Nyangahya Division,,7135,23,34,22,9,1634,6,12,3118,413
1236,sub county,Nyenga,80,22232,92,85,39,33,4083,31,72,8128,855
2134,sub county,Ogoko,104,5858,83,163,72,36,1573,22,47,1730,243
985,sub county,Okwang,5,9209,84,124,145,18,2326,61,33,3582,0
,sub county,Oli River,,22590,59,168,25,16,5743,15,33,4995,1179
,sub county,Pakwach Town Council,,11560,95,284,54,49,2481,25,31,4703,453
,sub county,Pandwong Division,,8449,22,657,21,18,3060,6,43,1053,152
,sub county,South Division,,32418,131,166,138,43,6132,58,198,13488,1271
,sub county,Southern Division,,29615,53,88,34,21,7984,14,125,11314,644
,sub county,Tororo Western,,13947,40,75,24,18,4734,12,32,3718,285
1158,sub county,Wakiso,27,65712,415,287,53,42,18889,64,73,9795,634
,sub county,Walukuba,,18487,48,27,13,16,6000,71,123,4652,579
,sub county,Western Division,,13906,33,54,12,8,4483,5,30,3223,290
1304,sub county,Alito,13,30763,308,337,166,95,8360,123,120,11859,649
2077,sub county,Aloi,7,13672,206,181,102,55,3905,61,216,4636,463
,sub county,Apac Town Council,,6320,38,33,52,11,2219,9,28,1814,169
2090,sub county,Aputi,50,6361,68,52,46,7,1759,19,22,2901,185
1007,sub county,Awere,11,7629,127,369,66,55,2152,39,46,2144,159
1619,sub county,Barr,6,19763,265,308,170,97,6580,92,101,5836,1016
1325,sub county,Bukabooli,73,18970,119,78,39,26,3993,22,117,7530,350
1977,sub county,Bukibokolo,37,3257,6,12,2,8,705,1,6,1529,95
,sub county,Bulago,,3825,7,7,4,0,608,2,9,2275,71
,sub county,Buliisa Town Council,,4384,20,19,8,1,1346,5,10,1780,145
1628,sub county,Bulongo,71,11706,44,53,46,17,2154,16,81,5167,354
1669,sub county,Bumbo,42,6876,22,12,9,6,1218,5,6,3275,249
,sub county,Bundibugyo Town Council,,8357,8,31,7,9,709,4,37,5246,280
1268,sub county,Busano,33,5291,20,37,17,8,2005,4,5,1278,119
,sub county,Busiisi Division,,10789,20,40,18,8,1995,5,21,5063,291
1722,sub county,Busitema,83,7418,43,73,41,20,1710,15,26,2963,224
1206,sub county,Busolwe,40,6203,36,41,16,10,1558,22,24,2458,116
1101,sub county,Busulani,89,3984,7,9,8,6,1304,9,3,1347,279
1102,sub county,Buteza,89,5790,24,11,12,8,2430,3,1,1792,166
1677,sub county,Buwagogo,42,3296,4,26,10,2,741,13,2,1282,188
1868,sub county,Buwenge,31,20687,56,62,62,16,4528,14,146,6523,788
911,sub county,Buyinja,82,10764,51,41,13,8,2686,6,37,3485,547
1271,sub county,Bwambara,63,13582,48,90,35,12,4391,5,1,4302,487
1755,sub county,Bweema,74,3986,26,15,11,5,895,4,15,1653,87
,sub county,Central Division,,20597,35,103,28,20,5348,12,23,6638,624
1244,sub county,Ciforo,44,5877,52,109,27,14,899,11,11,2899,387
1769,sub county,Dokolo,51,7109,87,73,57,14,1735,19,25,2406,640
1023,sub county,Gogonyo,76,10161,113,63,27,29,3336,23,11,3809,204
1117,sub county,Gweri,88,20096,160,229,206,69,6729,221,49,5996,987
1912,sub county,Hakibale,57,12644,31,41,28,20,1177,14,15,7296,523
,sub county,Hamurwa Town Council,,2620,5,10,6,4,571,2,3,1429,26
2115,sub county,Inomo,12,13461,93,130,72,22,3715,48,39,4514,438
2213,sub county,Itula,47,4935,45,84,74,13,1183,15,19,1980,253
2001,sub county,Iwemba,81,7838,69,93,21,12,1251,8,23,3340,382
1329,sub county,Jaguzi,73,5623,19,8,20,4,1146,9,16,1927,153
,sub county,Kabale Southern,,8841,8,79,29,12,3375,12,4,2955,294
2037,sub county,Kabei,39,2525,9,5,9,2,264,1,3,1843,85
1799,sub county,Kabwoya,55,23024,77,99,58,33,2411,41,33,11154,907
1039,sub county,Kacheera,24,11043,33,29,13,9,1124,3,7,5771,234
1490,sub county,Kadama,75,7634,34,39,18,6,1481,11,18,3843,173
1969,sub county,Kaderuna,112,6920,48,41,54,18,1638,131,18,3177,245
2166,sub county,Kagongi,61,10980,16,37,16,14,1262,11,4,6592,177
1762,sub county,Kagulu,78,26711,100,66,249,21,2216,21,153,15380,1104
,sub county,Kakooge Town Council,,3782,24,12,5,4,688,1,6,1910,87
1015,sub county,Kakoro,76,7229,64,76,118,15,1746,23,22,3123,218
1942,sub county,Kalaki,35,6977,28,28,30,3,1700,7,28,3350,130
1749,sub county,Kalamba,67,9086,80,57,51,9,2774,12,25,3535,260
,sub county,Kalangaalo,,13143,76,54,45,15,2288,24,29,6840,436
1875,sub county,Kalapata,52,6254,35,32,29,23,99,38,180,4080,959
,sub county,Kalungu Town Council,,4134,31,33,4,2,1476,5,6,1338,104
2236,sub county,Kalwana,22,14020,90,66,39,32,2168,11,29,7124,566
1647,sub county,Kamira,21,10571,49,35,20,10,1566,18,18,4802,385
1357,sub county,Kamwenge,64,10808,31,55,14,5,663,5,8,6511,360
1180,sub county,Kango,96,15361,176,168,101,61,1191,42,127,7963,765
1500,sub county,Kanoni,4,8806,13,34,17,3,1100,3,10,5595,154
2184,sub county,Kanyabwanga,102,9387,39,46,33,8,3078,10,11,3620,235
1482,sub county,Kapeke,109,7425,17,24,15,5,870,6,6,3854,225
1560,sub county,Kaproron,91,2243,9,13,0,4,269,2,3,1463,78
1403,sub county,Karambi,58,14449,62,37,14,21,6081,7,10,4684,244
2004,sub county,Karungu,100,7675,21,39,25,8,950,5,20,4800,347
1228,sub county,Kasaali,24,11083,141,72,29,11,3612,13,13,3274,416
1457,sub county,Kasambya,59,29814,78,107,122,35,3134,21,32,16344,1262
1393,sub county,Kaserem,90,2350,7,6,6,3,611,6,6,1044,84
1887,sub county,Kashambya,56,13758,63,97,53,20,4405,15,9,5477,401
1587,sub county,Kasule,70,10186,36,53,24,12,901,6,15,6204,193
,sub county,Katakwi Town Council,,2981,20,17,4,2,1027,1,5,992,50
1604,sub county,Katooke,69,15183,39,68,31,12,1291,19,13,9264,441
2146,sub county,Katrini,104,14475,153,260,129,54,3650,61,81,4578,876
971,sub county,Kayonza,62,24799,131,109,116,40,5321,62,64,9145,1026
,sub county,Kayunga Town Council,,13818,133,61,27,16,4622,14,23,3443,206
1505,sub county,Kenshunga,4,12045,3,1,0,6,287,0,2,11425,180
,sub county,Kibaale,,13718,40,43,28,15,2078,14,219,7314,356
1034,sub county,Kibanda,24,11448,44,51,28,18,1423,10,38,5523,602
957,sub county,Kibatsi,62,10947,20,26,32,10,2868,10,7,4551,335
2026,sub county,Kibinge,16,13599,164,132,38,21,4720,12,13,4843,389
,sub county,Kichwamba,,8250,22,28,25,6,1719,8,7,4296,230
2020,sub county,Kidongole,38,11401,106,71,45,26,2896,57,67,4440,384
1367,sub county,Kihiihi,65,8505,36,1273,40,7,1686,4,1,2922,279
2269,sub county,Kikamulo,30,7881,75,41,24,21,1320,15,14,3619,256
1820,sub county,Kikyenkye,2,8202,10,16,9,7,894,3,2,4734,153
1416,sub county,Kilembe,58,6679,89,35,29,16,3263,11,6,1243,229
1660,sub county,Kinuuka,28,4128,4,9,5,3,346,1,4,2744,72
1461,sub county,Kiryanga,59,7612,26,41,19,7,669,6,8,4105,524
1924,sub county,Kisomoro,57,11466,20,29,44,18,1229,4,11,6532,459
1292,sub county,Kitayunjwa,77,17313,54,159,23,18,3354,26,120,7952,564
1937,sub county,Kobulubulu,35,8136,78,78,53,18,2543,24,41,3019,214
,sub county,Koch,,7068,82,717,83,33,1068,43,68,1684,236
,sub county,Kotido Town Council,,5213,19,62,12,9,565,11,30,2695,419
937,sub county,Kucwiny,95,14480,124,489,86,59,2355,50,64,5551,1250
2099,sub county,Kuju,36,7336,97,125,88,46,2264,24,29,2651,185
1552,sub county,Kumi,86,6855,82,57,43,28,1562,24,31,2860,229
1174,sub county,Kuru,48,7222,62,71,39,26,1165,25,26,3388,329
1418,sub county,Kyabarungira,58,7545,51,33,13,12,3193,5,5,1934,163
1714,sub county,Kyamuhunga,103,18163,48,67,37,19,2946,17,17,9344,491
1949,sub county,Kyamuswa,1,3102,51,9,9,5,1024,4,13,905,67
1910,sub county,Kyanamira,56,11447,14,59,58,8,3132,2,23,5182,300
1091,sub county,Kyangyenyi,99,16217,24,63,29,18,3120,11,27,8545,265
1573,sub county,Kyankwanzi,108,7749,3,2,6,2,173,0,8,6025,59
,sub county,Kyazanga Town Council,,7482,24,19,19,8,2220,5,7,2420,191
1472,sub county,Kyebando,59,8986,32,68,31,10,808,6,15,5232,340
1715,sub county,Kyeizooba,103,15613,26,68,39,19,3771,19,16,7581,231
1089,sub county,Kyere,87,18833,135,118,68,33,4855,34,62,8097,459
1193,sub county,Kyesiiga,18,10514,82,58,19,13,2255,11,19,4467,455
1406,sub county,Kyondo,58,11684,111,46,40,19,6062,10,15,2323,368
,sub county,Labongo,,4958,56,679,25,17,1290,13,16,772,187
1785,sub county,Lakwana,45,8258,90,793,179,34,1315,24,38,2579,280
1253,sub county,Lamogi,9,18763,251,852,160,112,6019,84,84,4095,569
,sub county,Layibi,,17082,56,619,57,26,4875,19,35,2154,379
1620,sub county,Lira,6,6855,65,177,79,26,1742,24,21,2216,246
2132,sub county,Logiri,104,14714,188,216,123,61,1514,63,55,6637,1498
,sub county,Lopei,,4649,20,17,15,5,24,19,45,3057,492
2092,sub county,Loroo,110,11719,9,8,2,4,179,4,13,8189,31
2049,sub county,Lotukei,49,4994,12,23,9,8,438,3,12,3102,120
1296,sub county,Ludara,53,11944,236,143,73,36,2262,38,176,5735,587
,sub county,Lukaya Town Council,,10254,82,55,14,10,3338,5,13,3224,250
1732,sub county,Lunyo,83,6659,35,45,26,7,1997,5,16,2572,233
1636,sub county,Luwero,21,15520,106,79,44,24,3458,23,32,6194,523
903,sub county,Lwampanga,23,12826,43,41,39,9,1330,8,32,7324,618
,sub county,Lwengo Town Council,,7408,77,28,19,7,2393,8,8,2503,163
2198,sub county,Maanyi,29,9076,56,59,51,22,1791,12,8,4649,347
1779,sub county,Maddu,19,16240,54,24,17,21,1776,10,16,10281,234
,sub county,Madi,,4924,102,459,40,29,679,32,28,1475,381
1864,sub county,Mafubira,31,32712,62,74,31,25,8272,14,227,8200,782
1635,sub county,Makulubita,21,13703,130,65,50,17,3491,24,43,5488,341
1831,sub county,Makuutu,72,11481,45,39,7,7,2404,14,60,4487,448
2241,sub county,Manyogaseka,22,4995,13,18,6,7,525,6,4,2723,144
1850,sub county,Masha,3,12017,6,32,41,215,2279,5,8,5906,195
,sub county,Masindi Port,,4220,10,24,9,12,343,0,8,1983,208
1076,sub county,Mateete,25,21393,147,86,40,35,6526,32,24,6701,472
,sub county,Mayuge Town Council,,8813,14,19,11,7,1877,14,92,2879,201
1284,sub county,Mbulamuti,77,12387,52,56,97,9,1818,14,53,4323,359
2216,sub county,Metu,47,9747,138,185,67,29,1740,24,57,4105,563
991,sub county,Minakulu,54,14939,166,250,85,47,3432,57,110,4865,440
1946,sub county,Mugoye,1,6433,108,51,34,18,1402,8,12,2799,238
,sub county,Muhorro Town Council,,10651,10,31,14,5,1809,3,12,5398,273
1891,sub county,Muko,56,22196,117,128,74,18,4562,14,10,13058,308
,sub county,Mukono Division,,50011,597,301,34,32,17127,34,78,10889,1219
1130,sub county,Mukuju,34,16590,44,173,21,22,5372,17,67,4858,582
1311,sub county,Mukungwe,18,18585,179,171,41,23,6616,19,25,5597,351
945,sub county,Mukura,84,15817,99,121,201,40,4926,23,44,5115,909
1530,sub county,Muramba,60,17187,24,36,13,13,1127,4,8,10615,401
1532,sub county,Murora,60,8797,13,16,19,3,456,1,5,6505,152
1993,sub county,Muterere,81,11736,50,40,19,22,2670,14,42,4305,470
2176,sub county,Mwizi,61,15965,4,17,3,1,628,2,1,12789,177
,sub county,Nabbale,,16108,132,86,47,21,4025,29,36,4669,685
2265,sub county,Nabilatuk,111,8744,5,19,2,1,98,0,10,6917,69
1144,sub county,Nabuyoga,34,13106,63,61,34,18,5304,32,25,3939,464
,sub county,Nabweru Division,,41415,294,198,35,24,13516,30,55,6588,600
1287,sub county,Nabwigulu,77,9229,39,41,27,11,1399,8,71,4057,250
1139,sub county,Nagongera,34,11426,56,62,47,24,4547,26,41,3179,263
,sub county,Najjembe Division,,14660,117,62,54,16,3268,20,41,5815,421
1837,sub county,Nakalama,72,18174,47,35,28,14,3907,141,179,6582,638
2157,sub county,Nakaloke,33,9808,29,46,28,8,2508,14,15,3155,559
,sub county,Nakapiripirit Town Council,,1749,11,15,5,6,155,2,12,929,88
1154,sub county,Namayumba,27,8062,54,42,31,7,1351,15,16,3311,219
1340,sub county,Namugongo,41,14462,66,68,24,15,1866,20,149,7059,694
,sub county,Namugongo Division,,64816,433,412,47,89,22417,37,81,9660,925
1840,sub county,Namungalwe,72,14873,97,45,42,8,2529,12,197,5466,710
,sub county,Ndejje Division,,45316,387,290,33,59,14564,37,44,7284,637
1266,sub county,Ndugutu,107,5436,36,38,22,10,749,5,11,3022,286
993,sub county,Ngai,54,12143,164,197,120,49,2696,46,50,4045,401
1848,sub county,Ngarama,3,16070,19,38,39,146,2772,8,5,8039,210
1234,sub county,Ngogwe,80,15108,106,99,43,22,4016,19,22,6004,522
2225,sub county,Nkozi,68,17021,157,76,92,26,5019,27,22,6757,666
1363,sub county,Ntara,64,13272,34,57,24,7,1587,16,13,7801,233
2250,sub county,Ntenjeru,79,17902,142,94,38,20,4319,16,24,6222,663
1520,sub county,Nyabwishenya,60,6529,12,17,8,3,422,6,5,4581,137
,sub county,Nyakabirizi Division,,4746,5,24,6,5,1344,7,3,2079,162
1074,sub county,Nyakishenyi,63,16810,37,95,59,14,4665,16,9,7712,330
1855,sub county,Nyakitunda,3,18304,63,92,48,25,2727,16,12,9793,319
965,sub county,Nyakyera,62,17590,26,40,35,16,3064,9,21,9163,452
1823,sub county,Nyamarebe,2,10233,13,29,21,7,1024,88,5,6620,263
,sub county,Nyamitanga,,12196,4,39,4,11,3428,4,7,3658,218
,sub county,Nyamwamba Division,,26341,43,65,33,15,7877,16,17,8482,619
1601,sub county,Nyantungo,69,10845,16,34,20,8,765,3,17,7169,191
,sub county,Nyendo,,22868,216,188,22,12,8884,15,19,4311,230
2107,sub county,Obalanga,36,7043,98,221,52,21,1943,29,20,2835,329
983,sub county,Ogur,5,16015,169,176,138,69,5617,67,84,5190,283
,sub county,Ojwina,,19561,43,92,21,18,7250,7,34,3282,428
2135,sub county,Okollo,104,7924,149,216,118,41,1657,30,27,2387,398
1693,sub county,Oleba,105,15150,249,215,124,64,2636,72,89,5204,813
986,sub county,Olilim,5,9730,127,153,80,40,1298,32,25,4651,0
2130,sub county,Oluko,104,16549,111,216,174,64,3948,50,54,4473,1121
,sub county,Pager Division,,6905,22,559,25,14,2729,12,39,736,145
1789,sub county,Paicho,45,9424,126,492,186,102,2607,53,50,1518,359
929,sub county,Panyango,95,13064,143,424,100,77,2502,58,69,5944,604
1085,sub county,Pingire,87,14289,161,198,88,39,4093,34,83,4979,678
973,sub county,Rubaare,62,12415,28,27,23,12,2856,6,9,5195,335
1906,sub county,Rubaya,56,14106,29,69,34,12,2823,8,6,7445,231
1382,sub county,Rugyeyo,65,10929,44,179,24,10,2824,5,8,5013,223
1217,sub county,Rupa,93,7594,34,34,39,29,144,38,71,4967,332
1227,sub county,Rwebisengo,106,2905,7,6,0,2,142,0,0,1870,13
1230,sub county,Shuuku,99,6643,13,44,18,7,1598,4,3,3312,80
,sub county,South Division,,2782,2,6,7,6,356,4,2,1374,28
2194,sub county,Ssekanyonyi,29,15855,134,86,42,14,3618,14,23,7495,592
1157,sub county,Ssisa,27,47588,410,282,52,49,14976,53,49,10545,884
,sub county,Ttamu Division,,13867,117,68,37,12,4243,63,26,5320,423
2016,sub county,Wakisi,80,19287,79,76,46,28,4832,13,43,6037,767
,sub county,Wakiso Town Council,,23241,158,156,26,6,7260,17,19,4540,249
,sub county,Wanale Borough,,9138,10,43,7,2,2993,7,12,2543,237
,sub county,West Division,,22150,87,89,90,28,4771,23,27,10774,554
,sub county,Western,,18461,21,78,17,20,5383,10,19,6271,460
,sub county,Western Division,,14200,34,56,36,25,4839,10,42,4393,365
1275,sub county,Abako,7,12440,184,217,138,67,3422,59,29,3486,316
1616,sub county,Agali,6,11160,118,147,62,35,3670,31,31,4129,303
1617,sub county,Agweng,6,11929,138,153,152,63,3677,75,53,4465,512
2106,sub county,Akoromit,36,6076,57,110,60,28,1909,19,18,2302,249
,sub county,Amudat Town Council,,4811,14,16,6,5,177,9,11,3095,35
,sub county,Awello,,5040,29,39,20,9,1020,7,6,2775,222
1301,sub county,Ayer,13,15679,166,124,92,53,3722,50,61,5835,457
,sub county,Bugembe Town Council,,24482,22,45,12,13,7734,10,152,4900,381
1326,sub county,Bukatube,73,16962,111,56,56,22,4520,29,83,4995,600
1096,sub county,Bukhulo,89,8461,19,21,14,10,2810,5,14,2900,417
1978,sub county,Bukigai,37,4968,16,9,8,6,1395,5,5,1711,132
1264,sub county,Bukonzo,107,4575,10,27,12,5,666,5,14,2780,130
1204,sub county,Bulegeni,92,1808,2,1,2,1,195,1,1,1163,23
1672,sub county,Bupoto,42,6205,24,17,9,11,1340,12,1,2714,177
1327,sub county,Busakira,73,13639,101,25,27,12,2894,14,118,5276,424
1706,sub county,Busaru,107,6863,11,37,8,4,306,3,27,4684,349
2156,sub county,Busiu,33,11133,25,39,56,18,3929,9,11,2948,447
1146,sub county,Bussi,27,7406,40,25,13,6,1550,9,12,2478,474
1739,sub county,Butaleja,40,6710,64,64,30,10,1994,11,22,2333,212
1905,sub county,Butanda,56,9186,27,45,26,9,2103,6,5,4615,165
1276,sub county,Butandiga,89,2900,6,7,6,3,914,3,4,1154,76
1723,sub county,Buteba,83,10845,87,80,31,28,2643,24,29,3919,465
2042,sub county,Butiaba,66,5418,24,25,13,6,1306,16,15,2035,400
948,sub county,Butungama,106,4382,6,25,2,6,161,2,1,2907,56
,sub county,Buwenge Town Council,,10520,11,15,12,6,3024,4,55,3007,221
2116,sub county,Chegere,12,15719,154,138,189,35,3671,40,47,6268,541
2053,sub county,Dzaipi,44,7889,79,114,46,33,1049,27,21,3779,532
1629,sub county,Ikumbya,71,13051,27,24,27,12,1626,6,130,7521,393
,sub county,Ishongororo Town Council,,10183,21,23,18,11,1314,99,5,6183,325
,sub county,Isingiro Town Council,,14941,29,45,85,15,3185,6,5,6626,382
1678,sub county,Kaato,42,4774,12,10,6,5,1382,5,8,1437,183
,sub county,Kabwohe,,9359,15,29,21,21,2295,2,15,4407,123
,sub county,Kabwohe/itendero Town Council,,518,1,0,1,0,115,0,1,225,11
1040,sub county,Kagamba,24,14171,49,61,28,16,1884,13,14,7292,528
,sub county,Kahoora Division,,19072,24,74,11,5,4682,9,21,6286,342
,sub county,Kakiika,,10136,4,19,5,11,1935,3,5,4610,255
,sub county,Kakiri Town Council,,9261,62,40,14,8,2569,11,17,2525,103
,sub county,Kakumiro Town Council,,4940,8,17,23,9,585,2,6,2822,105
990,sub county,Kamdini,54,15110,167,174,131,68,3614,74,68,4661,338
1024,sub county,Kameke,76,6745,103,71,37,20,2569,12,8,2021,172
1973,sub county,Kamonkoli,112,10527,47,53,45,42,3089,11,32,3843,237
1118,sub county,Kamuda,88,14098,132,168,100,37,7192,47,46,2341,485
1771,sub county,Kangai,51,7001,36,89,73,17,1786,18,33,2711,326
1877,sub county,Kapedo,52,3945,10,16,29,11,64,9,23,2904,338
1998,sub county,Kapyanga,81,25144,165,262,57,42,5591,47,106,8760,1194
1403,sub county,Karambi,58,12687,24,39,21,8,2031,4,16,6502,445
1112,sub county,Kasaana,99,8960,11,35,17,8,1933,7,9,4755,242
2185,sub county,Kashenshero,102,6968,9,29,26,4,1218,0,5,3818,79
1513,sub county,Kazo,4,13391,13,39,9,10,1174,2,6,9130,239
917,sub county,Kibale,43,7071,82,92,70,20,2436,14,4,2502,136
1750,sub county,Kibibi,67,7139,51,48,31,6,2308,11,7,2632,252
1483,sub county,Kibiga,109,9717,28,46,20,7,1245,11,28,5435,407
1493,sub county,Kibuku,75,5321,16,32,5,2,1157,6,15,2773,132
1763,sub county,Kidera,78,24181,75,87,25,21,1837,16,98,14100,676
1035,sub county,Kifamba,24,6575,44,44,25,12,1804,21,14,2456,139
,sub county,Kigulya Division,,6714,25,53,32,14,1387,3,11,3040,209
,sub county,Kikatsi,,7716,0,0,0,1,9,0,0,7096,30
1637,sub county,Kikyusa,21,13564,82,53,37,11,2969,19,28,5612,328
1049,sub county,Kirumba,24,10663,114,74,27,8,3149,13,20,4157,215
,sub county,Kisiita,,21388,33,82,151,22,1600,22,57,12866,895
2027,sub county,Kitanda,16,12127,88,63,26,7,3633,11,19,4659,377
2226,sub county,Kitenga,22,24190,118,117,68,48,2964,24,36,12037,889
,sub county,Kitholu,,8871,50,46,22,16,2993,7,9,3586,282
1439,sub county,Kitimbwa,26,19347,92,73,114,36,4944,32,42,6496,559
2239,sub county,Kitumbi,22,22388,84,84,44,39,1757,24,33,12568,642
1798,sub county,Kiziranfumbi,55,15036,42,65,35,8,2272,41,27,7759,673
2021,sub county,Kolir,38,12460,105,64,40,27,3104,50,51,5651,464
1467,sub county,Kyanaisoke,59,6790,18,35,19,6,885,7,6,3978,223
1600,sub county,Kyarusozi,69,4927,10,17,10,7,485,2,2,3012,93
,sub county,Kyegegwa,,11550,25,34,21,9,917,7,9,6965,333
,sub county,Kyenjojo Town Council,,11213,19,46,20,12,1723,4,8,5525,312
,sub county,Labongo,,6556,58,860,35,23,1661,35,24,864,362
,sub county,Labongo-amida,,399,2,74,2,1,103,3,1,46,27
,sub county,Labor,,7676,68,87,41,18,1885,12,26,2721,558
,sub county,Lake Kabatoro Town Council,,3866,10,16,5,3,925,1,6,1503,144
1787,sub county,Lalogi,45,11926,174,1286,166,41,2187,30,49,3014,466
2066,sub county,Lokole,10,5642,72,191,56,22,1030,12,14,2220,276
925,sub county,Lotome,94,3925,7,22,9,6,67,9,21,2927,166
,sub county,Luweero,,21718,108,71,21,14,6466,15,47,6546,396
1655,sub county,Lyantonde,28,8121,26,23,17,5,1161,5,15,4529,173
918,sub county,Magada,43,19615,91,64,37,24,2991,19,249,9740,633
1432,sub county,Magoro,32,8214,124,90,164,18,1474,29,34,4243,389
1420,sub county,Mahango,58,9611,105,52,40,17,5032,17,10,2018,293
2197,sub county,Malangala,29,9247,75,72,34,7,2495,16,17,3483,356
1421,sub county,Maliba,58,21195,141,67,53,23,8834,27,19,4825,546
1106,sub county,Masaba,89,10223,69,79,35,18,2949,12,15,4232,298
1477,sub county,Matale,59,7344,21,65,33,13,600,6,6,4047,188
1898,sub county,Maziba,56,11062,22,33,92,8,2099,9,17,6229,296
1950,sub county,Mazinga,1,2773,11,13,9,2,893,4,5,706,76
1153,sub county,Mende,27,12321,91,112,27,11,2758,11,15,2953,422
1214,sub county,Midia,53,9982,78,94,38,32,1606,20,21,3737,665
1322,sub county,Miirya,97,8982,64,69,65,28,1183,20,20,3501,514
1078,sub county,Mijwala,25,13001,53,36,15,12,2576,10,11,6261,274
2050,sub county,Morulem,49,7826,28,53,32,6,1086,10,19,4106,339
2217,sub county,Moyo,47,11438,107,152,60,36,2737,22,32,4028,548
1780,sub county,Mpenja,19,13158,94,74,48,19,3317,20,26,5722,369
,sub county,Mpigi Town Council,,21319,280,146,53,29,6469,31,51,7046,474
2247,sub county,Mpunge,79,6496,47,32,21,9,1807,12,8,2083,283
1334,sub county,Mpungwe,73,11199,43,40,17,14,2727,11,89,4466,238
1574,sub county,Mulagi,108,6088,14,35,17,3,1016,4,5,3085,131
1269,sub county,Mutunda,98,26227,152,264,108,68,2643,34,86,10401,1668
,sub county,Nabiswera,,6906,17,27,20,9,520,4,12,4418,266
2255,sub county,Nagojje,79,16346,115,96,53,25,3889,27,33,5844,508
1758,sub county,Nairambi,74,7646,56,46,21,24,1749,11,18,2798,352
